idx,PROPERTY VALUE_bin_1,PROPERTY VALUE_bin_2,PROPERTY VALUE_bin_3,PROPERTY VALUE_bin_4,PROPERTY VALUE_bin_0,DEROGATORY REPORTS_bin_2,DEROGATORY REPORTS_bin_3,DEROGATORY REPORTS_bin_0,DELINQUENT CREDIT LINES_bin_2,DELINQUENT CREDIT LINES_bin_3,DELINQUENT CREDIT LINES_bin_0,OLDEST CREDIT (MONTHS)_bin_2,OLDEST CREDIT (MONTHS)_bin_3,OLDEST CREDIT (MONTHS)_bin_4,OLDEST CREDIT (MONTHS)_bin_0,RECENT CREDIT ENQUIRIES_bin_2,RECENT CREDIT ENQUIRIES_bin_3,RECENT CREDIT ENQUIRIES_bin_4,RECENT CREDIT ENQUIRIES_bin_0,DEBTINC_bin_2,DEBTINC_bin_3,DEBTINC_bin_4,DEBTINC_bin_5,DEBTINC_bin_0,DEFAULT,predicted_probability,dataset,group
89,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0.5673425067458199,Training,9
4547,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.09590458333548173,Training,7
903,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.11950196815135437,Training,7
2665,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.008375743780809092,Training,1
4830,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.08705986757227813,Training,7
5010,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.020890491523483184,Training,2
4297,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.019025917377481365,Training,2
5523,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.020890491523483184,Training,2
2523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9900021481488481,Training,10
1421,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.07203044123293033,Training,6
5441,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04670429877180783,Training,4
3945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17963625529247115,Training,8
