idx,DEFAULT,OUTSTANDING MORTGAGE,PROPERTY VALUE,JOB,YEARS AT JOB,DEROGATORY REPORTS,DELINQUENT CREDIT LINES,OLDEST CREDIT (MONTHS),RECENT CREDIT ENQUIRIES,CREDIT LINES,DEBTINC,LTV RATIO
0,1,25860.0,39025.0,Other,10.5,0.0,0.0,94.36666667,1.0,9.0,,0.6626521460602178
1,1,70053.0,68400.0,Other,7.0,0.0,2.0,121.8333333,0.0,14.0,,1.0241666666666667
2,1,13500.0,16700.0,Other,4.0,0.0,0.0,149.4666667,1.0,10.0,,0.8083832335329342
3,1,,,,,,,,,,,
4,0,97800.0,112000.0,Office,3.0,0.0,0.0,93.33333333,0.0,14.0,,0.8732142857142857
5,1,30548.0,40320.0,Other,9.0,0.0,0.0,101.4660019,1.0,8.0,37.11361356,0.7576388888888889
6,1,48649.0,57037.0,Other,5.0,3.0,2.0,77.1,1.0,17.0,,0.8529375668425758
7,1,28502.0,43034.0,Other,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409,0.6623135195426871
8,1,32700.0,46740.0,Other,3.0,0.0,2.0,216.9333333,1.0,12.0,,0.699614890885751
9,1,,62250.0,Sales,16.0,0.0,0.0,115.8,0.0,13.0,,
10,1,22608.0,,,18.0,,,,,,,
11,1,20627.0,29800.0,Office,11.0,0.0,1.0,122.5333333,1.0,9.0,,0.6921812080536913
12,1,45000.0,55000.0,Other,3.0,0.0,0.0,86.06666667,2.0,25.0,,0.8181818181818182
13,0,64536.0,87400.0,Mgr,2.5,0.0,0.0,147.1333333,0.0,24.0,,0.7383981693363845
14,1,71000.0,83850.0,Other,8.0,0.0,1.0,123.0,0.0,16.0,,0.8467501490757304
15,1,24280.0,34687.0,Other,,0.0,1.0,300.8666667,0.0,8.0,,0.699974053680053
16,1,90957.0,102600.0,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,,0.8865204678362573
17,1,23030.0,,,19.0,,,,,,3.7113123,
18,1,28192.0,40150.0,Other,4.5,0.0,0.0,54.6,1.0,16.0,,0.7021668742216688
19,0,102370.0,120953.0,Office,2.0,0.0,0.0,90.99253347,0.0,13.0,31.58850318,0.8463618099592404
20,1,37626.0,46200.0,Other,3.0,0.0,1.0,122.2666667,1.0,14.0,,0.8144155844155844
21,1,50000.0,73395.0,ProfExe,5.0,1.0,0.0,,1.0,0.0,,0.6812453164384494
22,1,28000.0,40800.0,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,,0.6862745098039216
23,1,18000.0,,Mgr,22.0,,2.0,121.7333333,0.0,10.0,,
24,1,,17180.0,Other,,0.0,0.0,14.56666667,3.0,4.0,,
25,1,34863.0,47471.0,Mgr,12.0,0.0,0.0,70.49108003,1.0,21.0,38.26360073,0.7344062690906027
26,0,98449.0,117195.0,Office,4.0,0.0,0.0,93.81177486,0.0,13.0,29.68182705,0.8400443704936218
