idx,DEFAULT,OUTSTANDING MORTGAGE,PROPERTY VALUE,LTV RATIO,missing_mortgage,missing_property_value,predicted_probability,dataset,LGD,RWA_IRB,EL
4,0,97800.0,112000.0,0.8732142857142857,0,0,0.5636122783578326,Training,0.45,201266.87734233623,24804.57637052821
13,0,64536.0,87400.0,0.7383981693363845,0,0,0.4534831721179381,Training,0.45,154570.87537780465,13169.695498111463
19,0,102370.0,120953.0,0.8463618099592404,0,0,0.0708538629594606,Training,0.45,180164.2245487714,3263.9894780219915
26,0,98449.0,117195.0,0.8400443704936218,0,0,0.0321424601431243,Test,0.45,114700.0757148322,1423.9768763837
29,0,7229.0,44516.0,0.16239105040884177,0,0,0.572475587587339,Test,0.45,14648.358591878934,1862.2917102009928
30,0,71408.0,78600.0,0.908498727735369,0,0,0.2472632650138446,Test,0.45,186391.73878032228,7945.458852648878
34,0,103949.0,112505.0,0.9239500466645927,0,0,0.0708538629594606,Training,0.45,182943.1569563372,3314.3346903478364
35,0,104373.0,120702.0,0.8647164090073073,0,0,0.0321424601431243,Training,0.45,121601.95636912697,1509.6622466332408
38,0,104570.0,121729.0,0.8590393414880595,0,0,0.0708538629594606,Training,0.45,184036.0746416433,3334.1348023518576
48,0,58000.0,71500.0,0.8111888111888111,0,0,0.2841916581312385,Test,0.45,152481.76968579352,7417.402277225325
49,0,47000.0,56400.0,0.8333333333333334,0,0,0.3180226123901646,Test,0.45,123122.06828215976,6726.178252051982
51,0,48136.07912807637,70400.0,0.6837511239783576,1,0,0.3777907662127063,Training,0.45,122876.57716746764,8183.414797322144
52,0,67848.0,74566.0,0.9099053187779953,0,0,0.0101748583115784,Training,0.45,38708.70273198447,310.6547040257871
56,0,74864.0,87266.0,0.8578827951321247,0,0,0.040301282019472,Training,0.45,98948.14656166626,1357.7018296975884
65,0,83700.0,111800.0,0.7486583184257602,0,0,0.3180226123901646,Training,0.45,219262.06628120792,11978.32169567555
66,0,61327.0,76484.0,0.8018278332723184,0,0,0.0483037012137685,Training,0.45,89283.2802348761,1333.0444879515514
67,0,100693.0,114743.0,0.8775524432863007,0,0,0.0321424601431243,Test,0.45,117314.49505788376,1456.4343326362268
69,0,52337.0,63989.0,0.8179062026285768,0,0,0.0118487140684304,Training,0.45,33010.52253826134,279.0567666897489
