idx,DEFAULT,PROPERTY VALUE,YEARS AT JOB,DEROGATORY REPORTS,DELINQUENT CREDIT LINES,OLDEST CREDIT (MONTHS),RECENT CREDIT ENQUIRIES,DEBTINC
89,1,58350.0,3.5,0.0,0.0,162.0,3.0,
4547,0,140428.0,22.0,1.0,0.0,169.2836314,1.0,40.98061565
903,0,64309.0,7.0,,3.0,120.4312261,2.0,39.97548983
2665,0,63519.0,6.0,0.0,0.0,275.4796976,0.0,20.78514557
4830,0,33975.0,23.0,0.0,0.0,79.16325954,2.0,27.17922554
5010,0,61089.0,27.0,0.0,0.0,144.1920343,0.0,22.81386786
4297,0,76986.0,9.0,0.0,0.0,276.275914,0.0,39.7301928
5523,0,175235.0,16.0,0.0,0.0,131.5424382,1.0,27.14989852
2523,1,,1.0,1.0,0.0,108.5333333,0.0,
1421,0,122571.0,8.0,,,,,40.78052715
5441,0,293790.0,27.0,0.0,0.0,157.7262908,0.0,37.06575888
3945,0,28635.0,5.0,0.0,0.0,102.9868632,0.0,19.44718515
609,0,81862.0,3.0,0.0,0.0,141.2686711,0.0,31.68194302
5443,0,-1.0,3.0,0.0,1.0,210.9224034,3.0,41.26480552
4514,0,138953.0,13.0,0.0,0.0,110.0541983,3.0,41.8416909
5503,0,195770.0,22.0,0.0,0.0,200.8607367,1.0,36.50527114
5650,0,193455.0,,0.0,0.0,185.1938366,0.0,33.2179617
4199,0,144850.0,,,,,,38.01073398
4115,0,143240.0,20.0,0.0,0.0,173.3416649,0.0,39.85872689
1950,0,114619.0,2.0,0.0,0.0,142.2125619,0.0,35.94987705
3722,0,113200.0,16.0,0.0,0.0,251.1041979,0.0,25.03374576
2574,0,154000.0,1.0,0.0,0.0,207.9666667,1.0,
1057,0,117321.0,19.0,0.0,2.0,194.4247179,2.0,36.95089224
4654,0,118423.0,8.0,0.0,1.0,126.5427462,0.0,26.2739081
4876,0,153000.0,7.0,0.0,0.0,112.6333333,3.0,
5329,1,53100.0,20.0,4.0,5.0,147.8666667,0.0,
4845,1,129189.0,,1.0,1.0,5.243341044,,42.93355731
3516,0,59415.0,25.0,0.0,0.0,241.8973574,0.0,23.87079226
2506,0,139884.0,13.0,0.0,0.0,119.0831164,5.0,36.36059707
1750,1,58000.0,5.0,0.0,1.0,113.6333333,1.0,
2516,0,57095.0,4.0,0.0,0.0,239.0236755,1.0,38.17162353
4939,0,54563.0,24.0,0.0,0.0,126.9879594,0.0,25.62363851
562,0,60252.0,16.0,0.0,3.0,220.6249839,0.0,26.71153647
5660,1,225000.0,2.0,0.0,4.0,158.2,3.0,
2748,0,93723.0,19.0,0.0,0.0,238.5013159,11.0,35.96589822
1646,0,125325.0,5.0,0.0,0.0,181.1720651,0.0,33.20039733
468,0,36191.0,,,,311.8698993,,30.79062077
4353,0,58856.0,,0.0,1.0,298.8195417,0.0,38.19502654
4747,0,178453.0,1.0,,,120.4,,
4023,1,95000.0,8.0,0.0,7.0,116.7,1.0,
160,1,25250.0,6.0,0.0,0.0,88.7,1.0,
4682,0,289991.0,5.0,,4.0,474.0270741,,31.46338455
2262,0,130104.0,16.0,0.0,0.0,295.7213173,0.0,29.96660243
1271,0,89840.0,16.0,0.0,0.0,87.82534618,0.0,24.47937322
775,1,56000.0,0.0,1.0,5.0,314.5,4.0,
2792,0,65686.0,3.0,0.0,0.0,149.9063788,1.0,30.48636123
1126,0,44138.0,14.0,0.0,0.0,60.6344698,1.0,31.68813428
3230,0,65537.0,6.0,0.0,1.0,129.8379412,3.0,29.31159406
257,0,72696.0,4.0,2.0,0.0,150.8658451,0.0,40.44256779
4029,1,90031.0,5.0,2.0,1.0,90.4254746,3.0,41.96624947
3375,0,130756.0,2.0,0.0,1.0,288.6555842,1.0,41.9463752
4642,1,101484.0,15.0,0.0,6.0,225.7525542,0.0,
2734,0,56834.0,7.0,1.0,0.0,120.0565557,1.0,39.90893415
523,0,48240.0,15.0,0.0,0.0,82.16666667,0.0,
4839,1,192642.0,1.0,0.0,10.0,192.6716931,1.0,35.75976024
5698,0,46000.0,,6.0,,112.7960318,,
2012,0,66162.0,4.0,0.0,0.0,170.7645169,0.0,39.24801492
3486,0,125249.0,26.0,0.0,0.0,294.424118,2.0,33.48854738
153,1,126500.0,3.0,0.0,0.0,100.3,0.0,
4429,1,216500.0,3.5,,,,,
4430,0,163390.0,7.0,1.0,0.0,215.0666667,1.0,
1587,1,75937.5,13.5,0.0,0.0,89.4,0.0,
4056,0,71102.0,7.0,0.0,0.0,73.30309745,2.0,34.65925993
1721,0,94900.0,9.0,3.0,0.0,189.7,1.0,
4824,0,114722.0,9.0,0.0,1.0,304.0041559,1.0,31.36072725
3441,0,56658.0,15.0,0.0,0.0,126.0480098,1.0,36.92663479
2584,1,114750.0,11.0,0.0,0.0,114.6,0.0,
1027,0,35250.0,16.0,0.0,0.0,59.86666667,1.0,
